design	n
observational	176
other	153
individual_RCT	92
program_evaluation	27
cluster_RCT	18
model	14
diagnostic_validation	10
qualitative	7
randomized_trial	6
survey	2
implementation_project	2
acceptability_survey	1
proof_of_concept	1
intervention_development	1
retrospective_registry	1
feasibility_study	1
cross_sectional_pilot	1
secondary_RCT_analysis	1
program_description	1
registry_cohort	1
implementation_fidelity	1
questionnaire_study	1
cross_sectional_cohort	1
registry_analysis	1
cluster_RCT_workflow_study	1
RCT_companion_survey	1
cross_sectional_trials	1
cross_sectional	1
qualitative_pilot	1
pilot_intervention	1
pilot	1
acceptability_study	1
cross_sectional_preference	1
crossover_randomized_trial	1
